family,symbol,engine,seed,fold_id,trade_id,entry_time,exit_time,side,holding_bars,net_return,funding,fees_plus_slippage,exit_reason
pdl_reclaim_long,BTCUSDT,random_search,278037,8,4,2024-04-10T14:00:00.000+0000,2024-04-10T16:00:00.000+0000,long,3,0.01752048,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,5,2024-04-16T05:00:00.000+0000,2024-04-17T05:00:00.000+0000,long,25,0.02248203,0.00019413,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,6,2024-04-19T02:00:00.000+0000,2024-04-19T02:00:00.000+0000,long,1,0.00497705,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,7,2024-04-25T12:00:00.000+0000,2024-04-25T12:00:00.000+0000,long,1,-0.00736387,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,8,2024-04-30T11:00:00.000+0000,2024-04-30T11:00:00.000+0000,long,1,-0.00983951,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,9,2024-05-06T20:00:00.000+0000,2024-05-07T23:00:00.000+0000,long,28,-0.01471925,0.00016673,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,10,2024-05-09T12:00:00.000+0000,2024-05-09T15:00:00.000+0000,long,4,0.01729892,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,11,2024-05-10T17:00:00.000+0000,2024-05-10T17:00:00.000+0000,long,1,-0.01146537,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,12,2024-05-22T22:00:00.000+0000,2024-05-23T13:00:00.000+0000,long,16,-0.02177457,0.00020000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,13,2024-05-26T22:00:00.000+0000,2024-05-27T01:00:00.000+0000,long,4,0.00736774,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,14,2024-05-31T17:00:00.000+0000,2024-05-31T19:00:00.000+0000,long,3,0.00659239,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,15,2024-06-06T21:00:00.000+0000,2024-06-07T11:00:00.000+0000,long,15,0.01310954,0.00020000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,8,16,2024-06-13T17:00:00.000+0000,2024-06-14T15:00:00.000+0000,long,23,-0.00965618,0.00020000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,1,2024-06-21T05:00:00.000+0000,2024-06-21T07:00:00.000+0000,long,3,-0.00775284,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,2,2024-06-27T07:00:00.000+0000,2024-06-27T12:00:00.000+0000,long,6,0.00936350,0.00010000,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,9,3,2024-06-27T13:00:00.000+0000,2024-06-28T15:00:00.000+0000,long,27,-0.00277231,0.00015000,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,4,2024-07-18T15:00:00.000+0000,2024-07-18T15:00:00.000+0000,long,1,-0.00764697,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,5,2024-07-23T08:00:00.000+0000,2024-07-23T13:00:00.000+0000,long,6,-0.00770091,0.00004310,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,6,2024-07-30T01:00:00.000+0000,2024-07-30T14:00:00.000+0000,long,14,-0.01240301,0.00003562,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,7,2024-08-01T01:00:00.000+0000,2024-08-01T01:00:00.000+0000,long,1,-0.00749423,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,8,2024-08-02T21:00:00.000+0000,2024-08-02T21:00:00.000+0000,long,1,-0.01061821,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,9,2024-08-03T02:00:00.000+0000,2024-08-03T15:00:00.000+0000,long,14,-0.00785084,0.00009788,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,10,2024-08-12T01:00:00.000+0000,2024-08-12T07:00:00.000+0000,long,7,0.00305700,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,11,2024-08-15T03:00:00.000+0000,2024-08-15T06:00:00.000+0000,long,4,-0.00588725,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,12,2024-08-19T02:00:00.000+0000,2024-08-19T09:00:00.000+0000,long,8,-0.00976952,-0.00006750,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,13,2024-09-06T08:00:00.000+0000,2024-09-06T13:00:00.000+0000,long,6,0.00170429,-0.00000001,0.00050000,
pdl_reclaim_long,BTCUSDT,random_search,278037,9,14,2024-09-06T14:00:00.000+0000,2024-09-06T14:00:00.000+0000,long,1,-0.01067082,0.00000000,0.00025000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,9,15,2024-09-11T05:00:00.000+0000,2024-09-11T05:00:00.000+0000,long,1,-0.00556548,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,10,1,2024-09-26T02:00:00.000+0000,2024-09-26T08:00:00.000+0000,long,7,0.00838571,0.00006246,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,10,2,2024-11-25T17:00:00.000+0000,2024-11-25T17:00:00.000+0000,long,1,-0.00764441,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,10,3,2024-12-13T03:00:00.000+0000,2024-12-13T14:00:00.000+0000,long,12,0.01495245,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,1,2024-12-18T03:00:00.000+0000,2024-12-18T03:00:00.000+0000,long,1,-0.00573710,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,2,2024-12-23T03:00:00.000+0000,2024-12-23T14:00:00.000+0000,long,12,-0.00351770,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,3,2024-12-27T15:00:00.000+0000,2024-12-27T15:00:00.000+0000,long,1,-0.01209552,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,4,2025-01-05T19:00:00.000+0000,2025-01-06T02:00:00.000+0000,long,8,0.00873194,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,5,2025-01-08T06:00:00.000+0000,2025-01-08T06:00:00.000+0000,long,1,-0.01280526,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,6,2025-01-09T18:00:00.000+0000,2025-01-09T20:00:00.000+0000,long,3,-0.00908984,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,7,2025-01-12T11:00:00.000+0000,2025-01-12T13:00:00.000+0000,long,3,0.00639325,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,8,2025-01-20T02:00:00.000+0000,2025-01-20T06:00:00.000+0000,long,5,0.06699942,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,9,2025-02-01T11:00:00.000+0000,2025-02-01T12:00:00.000+0000,long,2,0.00570945,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,10,2025-02-07T22:00:00.000+0000,2025-02-08T09:00:00.000+0000,long,12,0.00120437,-0.00002963,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,11,2025-02-10T00:00:00.000+0000,2025-02-10T11:00:00.000+0000,long,12,0.01193678,0.00010978,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,12,2025-02-11T22:00:00.000+0000,2025-02-12T09:00:00.000+0000,long,12,-0.00298940,0.00006197,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,13,2025-02-12T15:00:00.000+0000,2025-02-13T02:00:00.000+0000,long,12,0.01866554,0.00014960,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,14,2025-02-18T10:00:00.000+0000,2025-02-18T16:00:00.000+0000,long,7,-0.01253521,0.00010000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,15,2025-02-24T06:00:00.000+0000,2025-02-24T14:00:00.000+0000,long,9,-0.01146670,0.00006881,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,16,2025-02-25T02:00:00.000+0000,2025-02-25T07:00:00.000+0000,long,6,-0.03021591,0.00000000,0.00050000,signal_close
pdl_reclaim_long,BTCUSDT,random_search,278037,11,17,2025-03-11T02:00:00.000+0000,2025-03-11T13:00:00.000+0000,long,12,0.02184755,0.00003260,0.00050000,signal_close
