family,bar_index,p05,p25,p50,p75,p95,observed_median_seed
pdl_reclaim_long,10952,0.901859,0.981731,1.043295,1.113115,1.224376,1.089936
pdl_reclaim_long,11026,0.901211,0.981776,1.043933,1.113099,1.226853,1.089936
pdl_reclaim_long,11100,0.901600,0.981872,1.043963,1.114386,1.227566,1.089936
pdl_reclaim_long,11174,0.899948,0.982021,1.044733,1.116262,1.229262,1.094259
pdl_reclaim_long,11248,0.899633,0.982034,1.045251,1.115867,1.231163,1.096250
pdl_reclaim_long,11322,0.899812,0.981669,1.045621,1.116011,1.233460,1.096321
pdl_reclaim_long,11396,0.899535,0.981132,1.045711,1.117342,1.234578,1.096321
pdl_reclaim_long,11470,0.898468,0.981494,1.046325,1.118215,1.233973,1.096321
pdl_reclaim_long,11544,0.897815,0.981670,1.046593,1.117950,1.234940,1.072601
pdl_reclaim_long,11618,0.898502,0.982031,1.046602,1.118015,1.236449,1.073101
pdl_reclaim_long,11692,0.898202,0.982040,1.046495,1.119665,1.234873,1.073101
pdl_reclaim_long,11766,0.898491,0.982865,1.046388,1.121074,1.236835,1.073101
pdl_reclaim_long,11840,0.898424,0.982885,1.047271,1.121141,1.240459,1.073101
pdl_reclaim_long,11914,0.898548,0.982583,1.047824,1.120831,1.243500,1.073101
pdl_reclaim_long,11988,0.898472,0.982419,1.048654,1.120875,1.243502,1.073587
pdl_reclaim_long,12062,0.897828,0.983354,1.048603,1.121574,1.243645,1.073587
pdl_reclaim_long,12136,0.898342,0.983980,1.049013,1.121632,1.243833,1.072944
pdl_reclaim_long,12210,0.898753,0.984046,1.048930,1.122377,1.246540,1.072944
pdl_reclaim_long,12284,0.898753,0.984342,1.049782,1.122405,1.247355,1.072944
pdl_reclaim_long,12358,0.898753,0.984290,1.050630,1.124087,1.248118,1.078354
pdl_reclaim_long,12432,0.898753,0.985027,1.050381,1.124602,1.248634,1.078354
pdl_reclaim_long,12506,0.898753,0.985650,1.050864,1.125289,1.248782,1.063391
pdl_reclaim_long,12580,0.898339,0.985316,1.050630,1.124481,1.249026,1.063391
pdl_reclaim_long,12654,0.897867,0.985972,1.050649,1.124478,1.250344,1.063391
pdl_reclaim_long,12728,0.898191,0.986138,1.051126,1.124809,1.252693,1.063391
pdl_reclaim_long,12802,0.898044,0.986188,1.052033,1.125332,1.254618,1.063391
pdl_reclaim_long,12876,0.898180,0.985953,1.052840,1.126585,1.256593,1.063525
pdl_reclaim_long,12950,0.898333,0.985702,1.053386,1.128285,1.257038,1.063525
pdl_reclaim_long,13024,0.898101,0.985700,1.053697,1.128665,1.257158,1.056539
pdl_reclaim_long,13098,0.896546,0.986280,1.054584,1.130030,1.259380,1.055504
pdl_reclaim_long,13172,0.896592,0.986843,1.054027,1.130983,1.260799,1.055504
pdl_reclaim_long,13246,0.896455,0.987018,1.054467,1.132271,1.261452,1.055504
pdl_reclaim_long,13320,0.896104,0.986947,1.054923,1.132912,1.264028,1.074276
pdl_reclaim_long,13394,0.896458,0.986783,1.055264,1.133079,1.265019,1.074276
pdl_reclaim_long,13468,0.897148,0.986553,1.055224,1.132664,1.265784,1.074276
pdl_reclaim_long,13542,0.897537,0.987125,1.056293,1.132889,1.266234,1.074276
pdl_reclaim_long,13616,0.897721,0.987605,1.056606,1.133451,1.267548,1.074276
pdl_reclaim_long,13690,0.898493,0.987628,1.056034,1.134921,1.272035,1.074276
pdl_reclaim_long,13764,0.898096,0.987907,1.056866,1.135797,1.272035,1.074276
pdl_reclaim_long,13838,0.897691,0.987683,1.057785,1.136667,1.273046,1.074276
pdl_reclaim_long,13912,0.897763,0.987822,1.057732,1.136925,1.274117,1.074276
pdl_reclaim_long,13986,0.897107,0.987984,1.058308,1.138076,1.275090,1.068923
pdl_reclaim_long,14060,0.897863,0.988218,1.057709,1.139025,1.275090,1.079344
pdl_reclaim_long,14134,0.896724,0.987549,1.058109,1.140166,1.275213,1.079344
pdl_reclaim_long,14208,0.896077,0.986831,1.058378,1.139861,1.275280,1.079344
pdl_reclaim_long,14282,0.896149,0.987389,1.058943,1.140153,1.275190,1.079344
pdl_reclaim_long,14356,0.895951,0.987732,1.059138,1.138777,1.276640,1.079344
pdl_reclaim_long,14430,0.895322,0.987474,1.059509,1.141111,1.276775,1.100877
pdl_reclaim_long,14504,0.894484,0.987699,1.059781,1.141111,1.277811,1.119509
pdl_reclaim_long,14578,0.893751,0.988461,1.060093,1.141357,1.282376,1.100068
pdl_reclaim_long,14652,0.894910,0.988552,1.060174,1.141954,1.283075,1.114050
pdl_reclaim_long,14726,0.896171,0.988856,1.059646,1.142480,1.284311,1.114050
pdl_reclaim_long,14800,0.895933,0.988856,1.060174,1.143932,1.286671,1.114050
pdl_reclaim_long,14874,0.895131,0.988089,1.060506,1.144671,1.286117,1.114050
pdl_reclaim_long,14948,0.894946,0.988682,1.060787,1.144921,1.285224,1.135998
pdl_reclaim_long,15022,0.894612,0.987980,1.060835,1.144921,1.286306,1.135998
pdl_reclaim_long,15096,0.896166,0.988796,1.061504,1.146075,1.288465,1.135998
pdl_reclaim_long,15170,0.896288,0.989193,1.061374,1.145842,1.287295,1.135998
pdl_reclaim_long,15244,0.895669,0.988964,1.061281,1.145238,1.288244,1.135998
pdl_reclaim_long,15318,0.895247,0.988417,1.062991,1.145842,1.289420,1.135998
pdl_reclaim_long,15392,0.895280,0.988299,1.063091,1.145877,1.289654,1.135998
pdl_reclaim_long,15466,0.895601,0.988213,1.062804,1.147385,1.291117,1.135998
pdl_reclaim_long,15540,0.895202,0.988150,1.064130,1.148638,1.291327,1.135998
pdl_reclaim_long,15614,0.895278,0.988150,1.063757,1.148849,1.290716,1.135998
pdl_reclaim_long,15688,0.894514,0.989281,1.063709,1.148607,1.290066,1.126788
pdl_reclaim_long,15762,0.894387,0.989992,1.064373,1.149497,1.290321,1.126788
pdl_reclaim_long,15836,0.895804,0.989569,1.064736,1.150282,1.290040,1.126788
pdl_reclaim_long,15910,0.895062,0.989832,1.065573,1.151130,1.290203,1.126788
pdl_reclaim_long,15984,0.893921,0.990243,1.065623,1.152069,1.294169,1.126788
pdl_reclaim_long,16058,0.893921,0.990933,1.065755,1.152261,1.298396,1.126788
pdl_reclaim_long,16132,0.893880,0.990617,1.066988,1.153474,1.299251,1.126788
pdl_reclaim_long,16206,0.895381,0.991028,1.068120,1.153981,1.299376,1.126788
pdl_reclaim_long,16280,0.895538,0.991332,1.068365,1.155832,1.300128,1.126788
pdl_reclaim_long,16354,0.895102,0.989746,1.068728,1.155966,1.300109,1.126788
pdl_reclaim_long,16428,0.894295,0.990478,1.068952,1.155095,1.301320,1.126788
pdl_reclaim_long,16502,0.894290,0.990422,1.069358,1.156466,1.300104,1.126788
pdl_reclaim_long,16576,0.894361,0.990049,1.069447,1.156544,1.300939,1.126788
pdl_reclaim_long,16650,0.890890,0.991028,1.069391,1.158771,1.304232,1.137925
pdl_reclaim_long,16724,0.890594,0.991033,1.069565,1.158771,1.304242,1.139266
pdl_reclaim_long,16798,0.890610,0.991303,1.069447,1.159155,1.307103,1.139266
pdl_reclaim_long,16872,0.890600,0.991445,1.069652,1.159174,1.305200,1.139266
pdl_reclaim_long,16946,0.890238,0.990684,1.071037,1.159360,1.305164,1.139266
pdl_reclaim_long,17020,0.891579,0.991093,1.071284,1.159419,1.306750,1.139266
pdl_reclaim_long,17094,0.891323,0.991278,1.072733,1.160611,1.307444,1.139266
pdl_reclaim_long,17168,0.891867,0.991202,1.072723,1.161405,1.310943,1.139266
pdl_reclaim_long,17242,0.891974,0.991250,1.072641,1.161397,1.312047,1.139266
pdl_reclaim_long,17316,0.892107,0.991156,1.072623,1.161885,1.312580,1.139266
pdl_reclaim_long,17390,0.892107,0.990806,1.073493,1.163403,1.314311,1.139266
pdl_reclaim_long,17464,0.890427,0.991278,1.073435,1.165312,1.318862,1.118549
pdl_reclaim_long,17538,0.890201,0.991439,1.074318,1.165324,1.320137,1.118549
pdl_reclaim_long,17612,0.892018,0.991938,1.075125,1.166425,1.317680,1.105800
pdl_reclaim_long,17686,0.893448,0.992032,1.075383,1.166292,1.320137,1.105800
pdl_reclaim_long,17760,0.892938,0.992062,1.075225,1.166425,1.320039,1.105800
pdl_reclaim_long,17834,0.893494,0.991991,1.074854,1.166642,1.321120,1.122044
pdl_reclaim_long,17908,0.893711,0.991453,1.075137,1.166909,1.324252,1.122044
pdl_reclaim_long,17982,0.893798,0.992122,1.076027,1.167459,1.326272,1.125400
pdl_reclaim_long,18056,0.893798,0.992006,1.075569,1.168059,1.324768,1.130436
pdl_reclaim_long,18130,0.893220,0.991881,1.076741,1.168734,1.327471,1.130436
pdl_reclaim_long,18204,0.893545,0.991542,1.077018,1.169342,1.328192,1.121550
pdl_reclaim_long,18278,0.892832,0.992113,1.078662,1.169378,1.329636,1.109959
pdl_reclaim_long,18352,0.891735,0.992673,1.079262,1.170289,1.329371,1.109959
pdl_reclaim_long,18426,0.892437,0.992506,1.079052,1.170600,1.330714,1.117656
pdl_reclaim_long,18500,0.889455,0.992972,1.079359,1.170633,1.329662,1.135462
pdl_reclaim_long,18574,0.889425,0.993318,1.079626,1.170968,1.335147,1.121882
pdl_reclaim_long,18648,0.889455,0.993429,1.079522,1.171415,1.338441,1.121882
pdl_reclaim_long,18722,0.889455,0.994170,1.080269,1.172735,1.336796,1.121882
pdl_reclaim_long,18796,0.889451,0.993097,1.080568,1.171891,1.336325,1.121882
pdl_reclaim_long,18870,0.889408,0.993306,1.080171,1.172080,1.336792,1.123037
pdl_reclaim_long,18944,0.889551,0.993866,1.080946,1.173535,1.339134,1.130757
pdl_reclaim_long,19018,0.889551,0.994856,1.081236,1.173582,1.341582,1.133791
pdl_reclaim_long,19092,0.889489,0.994462,1.081391,1.174553,1.342954,1.137656
pdl_reclaim_long,19166,0.890202,0.994202,1.081976,1.174846,1.343227,1.139820
pdl_reclaim_long,19240,0.889209,0.994205,1.082120,1.175671,1.342686,1.142610
pdl_reclaim_long,19314,0.890554,0.994250,1.082299,1.175992,1.344141,1.142610
pdl_reclaim_long,19388,0.890217,0.994205,1.082458,1.176496,1.346050,1.136854
pdl_reclaim_long,19462,0.890497,0.994280,1.082743,1.176810,1.346137,1.136854
pdl_reclaim_long,19536,0.890497,0.994253,1.083703,1.177298,1.345932,1.118202
pdl_reclaim_long,19610,0.890205,0.994277,1.083066,1.176234,1.348832,1.118202
pdl_reclaim_long,19684,0.890197,0.994707,1.083101,1.176914,1.348010,1.118202
pdl_reclaim_long,19758,0.890401,0.995248,1.083197,1.178134,1.348874,1.118202
pdl_reclaim_long,19832,0.890197,0.996044,1.084104,1.179017,1.351869,1.104921
pdl_reclaim_long,19906,0.890197,0.996097,1.083254,1.179824,1.351238,1.104921
pdl_reclaim_long,19980,0.890389,0.996215,1.084104,1.180448,1.351109,1.104921
pdl_reclaim_long,20054,0.889955,0.996122,1.084104,1.180515,1.350773,1.104921
pdl_reclaim_long,20128,0.890392,0.996199,1.084753,1.182557,1.350702,1.104921
pdl_reclaim_long,20202,0.890026,0.996199,1.084735,1.181690,1.352646,1.104921
pdl_reclaim_long,20276,0.890024,0.996196,1.085082,1.182232,1.351537,1.104921
pdl_reclaim_long,20350,0.890411,0.995852,1.086039,1.182592,1.351798,1.090830
pdl_reclaim_long,20424,0.890848,0.995898,1.085306,1.182947,1.352374,1.090830
pdl_reclaim_long,20498,0.890876,0.996545,1.085821,1.183047,1.352916,1.078270
pdl_reclaim_long,20572,0.891420,0.996594,1.086036,1.183030,1.355917,1.086604
pdl_reclaim_long,20646,0.891439,0.996522,1.086882,1.183970,1.358423,1.086604
pdl_reclaim_long,20720,0.890655,0.996619,1.086261,1.184856,1.358423,1.086604
pdl_reclaim_long,20794,0.890835,0.997060,1.086908,1.185839,1.357392,1.086928
pdl_reclaim_long,20868,0.890074,0.997878,1.087005,1.186580,1.358998,1.079495
pdl_reclaim_long,20942,0.889650,0.998723,1.087357,1.186580,1.356588,1.066456
pdl_reclaim_long,21016,0.888773,0.999442,1.088431,1.187865,1.359871,1.066456
pdl_reclaim_long,21090,0.889875,0.999636,1.087582,1.186930,1.363466,1.066456
pdl_reclaim_long,21164,0.890417,1.000320,1.088195,1.186861,1.363043,1.060357
pdl_reclaim_long,21238,0.888347,1.000557,1.088932,1.188436,1.365569,1.060357
pdl_reclaim_long,21312,0.889034,1.001478,1.088550,1.188718,1.363833,1.060357
pdl_reclaim_long,21386,0.890435,1.001532,1.089223,1.188733,1.365479,1.079686
pdl_reclaim_long,21460,0.889510,1.000403,1.089565,1.188681,1.365933,1.079686
pdl_reclaim_long,21534,0.889510,0.999505,1.089890,1.190661,1.368482,1.079686
pdl_reclaim_long,21608,0.887866,0.999074,1.089811,1.192533,1.366791,1.079686
pdl_reclaim_long,21682,0.887688,0.999074,1.090102,1.193286,1.369852,1.079686
pdl_reclaim_long,21756,0.887478,0.999074,1.090129,1.194182,1.370270,1.079686
pdl_reclaim_long,21830,0.887008,0.999951,1.091604,1.195226,1.371679,1.079686
pdl_reclaim_long,21904,0.887211,1.000283,1.092283,1.196005,1.373004,1.088215
pdl_reclaim_long,21978,0.887351,1.000654,1.093283,1.198476,1.374331,1.088215
pdl_reclaim_long,22052,0.885116,1.000731,1.093285,1.198536,1.374559,1.076945
pdl_reclaim_long,22126,0.884484,1.001175,1.093666,1.199111,1.375108,1.076945
pdl_reclaim_long,22200,0.884857,1.001751,1.094136,1.199374,1.376042,1.076945
pdl_reclaim_long,22274,0.886057,1.002041,1.093927,1.199020,1.378141,1.076945
pdl_reclaim_long,22348,0.887330,1.001585,1.094110,1.199337,1.378006,1.076945
pdl_reclaim_long,22422,0.886246,1.002290,1.094977,1.199753,1.377994,1.076945
pdl_reclaim_long,22496,0.884911,1.002884,1.096034,1.200339,1.379905,1.076945
pdl_reclaim_long,22570,0.884696,1.003385,1.096134,1.200044,1.381654,1.076945
pdl_reclaim_long,22644,0.884275,1.003149,1.096735,1.200126,1.385071,1.076945
pdl_reclaim_long,22718,0.884137,1.002902,1.097163,1.202326,1.383504,1.076945
pdl_reclaim_long,22792,0.883345,1.002897,1.097163,1.203083,1.384000,1.076945
pdl_reclaim_long,22866,0.884755,1.002517,1.096923,1.203302,1.383973,1.076945
pdl_reclaim_long,22940,0.883681,1.003172,1.097515,1.203835,1.388291,1.076945
pdl_reclaim_long,23014,0.882920,1.004800,1.097440,1.205109,1.388675,1.076945
pdl_reclaim_long,23088,0.886055,1.004557,1.097440,1.206589,1.390497,1.076945
pdl_reclaim_long,23162,0.885892,1.004397,1.097912,1.205428,1.390562,1.076945
pdl_reclaim_long,23236,0.885003,1.004234,1.098439,1.206407,1.391183,1.076945
