round,family,symbol,seed,scenario,n_bars,total_return,sharpe,ann_volatility,max_drawdown,ci_low,ci_high,ci_excludes_zero,bh_total_return,beats_bh,positive
R3,BTC_ETH_confirmation,BTCUSDT,891022,no_fees,32385,-0.5980725351711929,-0.4109844941800581,0.40253610880829893,-0.8122730794811889,-0.015937467038939487,0.005720463660743707,False,0.5235082851004165,False,False
R3,BTC_ETH_confirmation,BTCUSDT,891022,gross,32385,-0.5668033989178258,-0.36067554482463343,0.4025186242089657,-0.7973699862586585,-0.015466535199951621,0.00630960544509599,False,1.0065896149726061,False,False
R3,BTC_ETH_confirmation,ETHUSDT,278037,taker_4_1,32385,-0.647883740630619,-0.26460430294514775,0.5321320634924784,-0.7898048661498602,-0.013915445091765543,0.008313792987262751,False,-0.2190192992677874,False,False
R3,BTC_ETH_confirmation,ETHUSDT,278037,maker_2_1,32385,-0.5507946466675899,-0.14089256566501523,0.5320777883946216,-0.7616314868233278,-0.012619588935951517,0.009610140646543211,False,-0.21886363421170063,False,False
R3,BTC_ETH_confirmation,ETHUSDT,278037,no_fees,32385,-0.3528088652203831,0.04471753959043338,0.5320538421832676,-0.7404031311447974,-0.010630540674930473,0.011645499736312539,False,-0.21863013662755293,False,False
R3,BTC_ETH_confirmation,ETHUSDT,278037,gross,32385,-0.30536912375937253,0.08068688132344964,0.5320640935097236,-0.7405592470305313,-0.010353326792210644,0.012047592357255466,False,0.009306446361522447,False,False
R3,BTC_ETH_confirmation,ETHUSDT,341110,taker_4_1,32385,-0.7521828805611968,-0.4812195568523481,0.512150490018022,-0.8853369950482135,-0.016103726404206237,0.005638764356155581,False,-0.2190192992677874,False,False
R3,BTC_ETH_confirmation,ETHUSDT,341110,maker_2_1,32385,-0.6800718517893882,-0.34650174586236954,0.5120503919363811,-0.8562618494740815,-0.014622376697534016,0.0071128516750465845,False,-0.21886363421170063,False,False
R3,BTC_ETH_confirmation,ETHUSDT,341110,no_fees,32385,-0.5307886147918757,-0.14430433806573664,0.5119779499125837,-0.7982865915725023,-0.012400672417337524,0.009256639342169116,False,-0.21863013662755293,False,False
R3,BTC_ETH_confirmation,ETHUSDT,341110,gross,32385,-0.5151845902384133,-0.1270287058301798,0.5119728118183781,-0.7941931308502668,-0.012211002589888904,0.009494641786045118,False,0.009306446361522447,False,False
R3,BTC_ETH_confirmation,ETHUSDT,605142,taker_4_1,32385,-0.5417437570542802,-0.1908561476298535,0.4864173916099276,-0.801599251624553,-0.012255975365055384,0.007935109219460713,False,-0.2190192992677874,False,False
R3,BTC_ETH_confirmation,ETHUSDT,605142,maker_2_1,32385,-0.425923934208414,-0.06563233849894906,0.4863477540887367,-0.757883990127401,-0.010867428452687037,0.00933870641378922,False,-0.21886363421170063,False,False
R3,BTC_ETH_confirmation,ETHUSDT,605142,no_fees,32385,-0.1951538294613876,0.12225555996206755,0.4863032258926035,-0.706660136629646,-0.008763967043564965,0.01147360416417388,False,-0.21863013662755293,True,False
R3,BTC_ETH_confirmation,ETHUSDT,605142,gross,32385,-0.15167521687683427,0.15152392314863514,0.4863123692567223,-0.7095770306632629,-0.008530821308791434,0.011986212403197897,False,0.009306446361522447,False,False
