round,family,symbol,engine,seed,oos_start,oos_end,n_oos_bars,n_folds,budget_per_fold_per_engine,unique_evals_this_unit_engine,total_return_net,max_drawdown,n_trades,sharpe_concat_ann,mean_fold_test_sharpe,n_folds_with_winner,bh_total_return,bh_sharpe_ann,bh_max_drawdown,pass_positive_return,pass_beats_bh,pass_double_costs,pass_bootstrap_ci,run_dir
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,random_search,693857,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.4995015295473483,-0.5461196825362128,710,-1.3194302855474107,-0.8552046151987056,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T214352Z_10c4c0
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,random_search,707014,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.48582505855975944,-0.5191132856374403,789,-1.1384386456726394,-0.8800581457017894,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T233210Z_2d43e7
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,random_search,765570,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.5901182753503347,-0.6027841971002492,737,-1.3894592153965624,-1.2243308397813415,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T222510Z_5a6dfd
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,random_search,891022,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,0.2387105040875186,-0.25339278389103914,634,0.46655806705341957,-0.09811076469558924,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,true,true,false,false,artifacts\runs\search_crt_htf_range_reversal_20260817T202752Z_52ab9d
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,genetic_algorithm,278037,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.09111114261438169,-0.19956448028946216,295,-0.16595522300418664,-0.49025291200386545,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T035421Z_565b4b
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,genetic_algorithm,341110,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.3320752682620175,-0.4321836482627567,372,-0.7370646203808748,-0.4607342029042761,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T031845Z_3f2c0c
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,genetic_algorithm,605142,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.41570582047190696,-0.4700111410835376,454,-1.1127349386800478,-0.7829895919914374,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T034059Z_239c26
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,genetic_algorithm,671194,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.21200953065160644,-0.336304171256956,470,-0.3983168730338975,-0.03552119200178752,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T034529Z_ebe88f
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,genetic_algorithm,683778,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.3043358322727413,-0.4177019258296616,369,-0.8424774214714243,-0.8304059914637661,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T032733Z_380c8f
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,genetic_algorithm,692467,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.5942342649120878,-0.6432544256227015,661,-1.3386613199047273,-1.1681733121139415,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T033628Z_d38fb2
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,genetic_algorithm,693857,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.157688928937481,-0.3627626389127607,409,-0.2953757310916768,0.3009375619320812,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T032310Z_78ee96
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,genetic_algorithm,707014,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.40103119277363386,-0.48757346405259716,448,-0.8582939034579544,-0.3632112784398162,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T034953Z_ee3f74
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,genetic_algorithm,765570,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.29041090084821375,-0.3678499399381221,443,-0.5989235383225654,-0.4435338979226487,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T033203Z_fe3fdd
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,genetic_algorithm,891022,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.4308112836042247,-0.48562656395330817,427,-1.0013257800162585,-0.3697541430574647,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T031425Z_d90752
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,random_search,278037,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.14561185716137381,-0.3399579421847053,324,-0.31670401825184635,0.37598848227363674,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T035421Z_565b4b
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,random_search,341110,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.3005386015563759,-0.42206406779377426,574,-0.5690304985608571,-0.5674784059230916,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T031845Z_3f2c0c
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,random_search,605142,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.07536474355307421,-0.308403261780237,388,-0.15430106960478016,0.031228387724682713,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T034059Z_239c26
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,random_search,671194,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.3505851588270499,-0.4507843875711449,367,-0.8732446109311679,-1.0010018451442806,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T034529Z_ebe88f
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,random_search,683778,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.382861086838595,-0.47917402240044893,532,-0.718697458988129,-0.599773076318922,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T032733Z_380c8f
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,random_search,692467,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.4336967305728825,-0.5320871049409688,634,-0.7977809441248401,-1.0918394724830933,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T033628Z_d38fb2
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,random_search,693857,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.4518610633117459,-0.521356183921707,430,-1.0174251256599487,-0.7972688435239735,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T032310Z_78ee96
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,random_search,707014,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.3677867473008196,-0.45250080639817225,735,-0.6019139726055781,-0.10392707079868009,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T034953Z_ee3f74
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,random_search,765570,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.3506259296332237,-0.4238533708688236,422,-0.8022547398595888,-0.5221651302849876,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T033203Z_fe3fdd
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,random_search,891022,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.5361407528335653,-0.5802864248979163,500,-1.4675421931266528,-1.1546479557386633,15,0.522747844787544,0.4778480838265403,-0.6788115023551706,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T031425Z_d90752
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,genetic_algorithm,278037,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.20132264674665068,-0.3169440074136852,464,-0.17406830096697312,-0.4131467397199659,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,true,false,false,artifacts\runs\search_crt_three_candle_model_20260819T044012Z_f1f526
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,genetic_algorithm,341110,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.2080060584090323,-0.33170206162946314,560,-0.2582193643297852,-0.3227168491952146,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,true,false,false,artifacts\runs\search_crt_three_candle_model_20260819T040329Z_ed682e
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,genetic_algorithm,605142,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.2712280497435251,-0.37332037671843343,654,-0.30644728770796115,-0.25957813656588047,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T042612Z_ae68b1
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,genetic_algorithm,671194,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,0.04191679130804782,-0.2882510634629254,571,0.15272721233191192,-0.03453848884883921,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,true,true,false,false,artifacts\runs\search_crt_three_candle_model_20260819T043048Z_050819
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,genetic_algorithm,683778,2022-03-31 00:00:00+00:00,2025-12-09 22:00:00+00:00,32385,15,100,1500,-0.4124343533837136,-0.46148922042174456,561,-0.4971846648253547,-0.8882052655266512,15,-0.2190192992677874,0.24043085765021407,-0.74563556228467,false,false,false,false,artifacts\runs\search_crt_three_candle_model_20260819T041229Z_9cc72d
